date,player,ship,location,faults
2020-01-22,Bob,5,Kirk,1489
2020-01-22,Charlie,0,Task,172
2020-01-22,Charlie,1,Ivan,264
2020-01-22,Charlie,2,Kris,1310
2020-01-22,Charlie,3,Stan,288
2020-01-22,Charlie,4,Reef,286
2020-01-22,Charlie,5,Kris,1306
2020-01-23,Alice,0,Kirk,1086
2020-01-23,Alice,1,Boyd,200
2020-01-23,Alice,2,York,79
2020-01-23,Alice,3,Ivan,191
2020-01-23,Bob,1,Kris,323
2020-01-23,Bob,2,Boyd,198
2020-01-23,Bob,3,Hook,1290
2020-01-23,Bob,4,Fate,1319
2020-01-23,Bob,5,Fate,1211
2020-01-23,Bob,6,Hook,1249
2020-01-23,Charlie,0,Fate,1397
2020-01-23,Charlie,2,Quin,1073
2020-01-23,Charlie,3,Hook,233
2020-01-23,Charlie,4,Stan,311
2020-01-23,Charlie,5,Boyd,321
2020-01-24,Alice,0,Fate,1240
2020-01-24,Alice,1,Boyd,1212
2020-01-24,Alice,2,Boyd,1306
2020-01-24,Alice,3,Reef,285
2020-01-24,Bob,0,Fate,1413
2020-01-24,Bob,1,Gaol,1257
2020-01-24,Bob,3,Stan,299
2020-01-24,Bob,4,Sol,313
2020-01-24,Bob,6,Ivan,197
2020-01-24,Charlie,0,Task,1267
2020-01-24,Charlie,1,Fate,1077
2020-01-24,Charlie,4,Hook,193
2020-01-25,Alice,1,Fate,1167
2020-01-25,Alice,2,Stan,103
2020-01-25,Alice,3,Reef,219
2020-01-25,Bob,1,Boyd,1276
2020-01-25,Bob,3,Quin,1165
2020-01-25,Bob,4,Boyd,1431
2020-01-25,Bob,5,Hook,1290
2020-01-25,Bob,6,Boyd,1229
2020-01-25,Charlie,1,Task,266
2020-01-25,Charlie,2,Sol,209
2020-01-25,Charlie,3,Boyd,142
2020-01-25,Charlie,5,York,374
2020-01-26,Alice,0,Task,348
2020-01-26,Alice,1,Kris,188
2020-01-26,Alice,3,Reef,1367
2020-01-26,Bob,0,Hook,255
2020-01-26,Bob,1,Reef,1218
2020-01-26,Bob,2,York,231
2020-01-26,Bob,3,Stan,299
2020-01-26,Bob,4,Reef,1034
2020-01-26,Bob,5,Kris,292
2020-01-26,Bob,6,Quin,1235
2020-01-26,Charlie,0,Gaol,1345
2020-01-26,Charlie,1,York,204
2020-01-26,Charlie,2,Ivan,299
2020-01-26,Charlie,3,Reef,259
2020-01-26,Charlie,4,Kris,335
2020-01-26,Charlie,5,Quin,1083
2020-01-27,Alice,0,Stan,1304
2020-01-27,Alice,1,Hook,170
2020-01-27,Alice,2,Stan,1277
2020-01-27,Alice,3,Boyd,136
2020-01-27,Bob,0,Hook,1064
2020-01-27,Bob,1,Kirk,1378
2020-01-27,Bob,2,Hook,1073
2020-01-27,Bob,4,Fate,1372
2020-01-27,Bob,5,Fate,1316
2020-01-27,Charlie,0,Fate,1270
2020-01-27,Charlie,1,Gaol,1010
2020-01-27,Charlie,2,York,302
2020-01-27,Charlie,3,Fate,1217
2020-01-27,Charlie,4,Quin,1303
2020-01-27,Charlie,5,Gaol,1280
2020-01-28,Alice,0,Kris,164
2020-01-28,Alice,1,Gaol,1365
2020-01-28,Alice,2,Quin,1435
2020-01-28,Alice,3,Quin,1250
2020-01-28,Bob,0,Gaol,1441
2020-01-28,Bob,1,Ivan,179
2020-01-28,Bob,3,Reef,243
2020-01-28,Bob,4,Gaol,1121
2020-01-28,Bob,5,Stan,191
2020-01-28,Charlie,0,Fate,1199
2020-01-28,Charlie,1,Stan,243
2020-01-28,Charlie,2,Reef,1177
2020-01-28,Charlie,3,Kirk,1228
2020-01-28,Charlie,4,Reef,1183
2020-01-29,Alice,0,Hook,933
2020-01-29,Alice,1,Ivan,325
2020-01-29,Alice,2,Quin,1009
2020-01-29,Bob,0,Boyd,220
2020-01-29,Bob,1,Sol,930
2020-01-29,Bob,2,Gaol,1393
2020-01-29,Bob,3,Kirk,1314
2020-01-29,Bob,4,Sol,1116
2020-01-29,Bob,5,Fate,1326
2020-01-29,Charlie,0,Ivan,1184
2020-01-29,Charlie,1,Kris,196
2020-01-29,Charlie,2,Kirk,1405
2020-01-29,Charlie,3,Sol,252
2020-01-29,Charlie,4,Ivan,1087
2020-01-29,Charlie,5,Boyd,276
2020-01-30,Alice,0,Fate,1244
2020-01-30,Alice,1,Quin,1253
2020-01-30,Alice,2,Boyd,339
2020-01-30,Alice,3,Fate,1215
2020-01-30,Bob,0,Boyd,1193
2020-01-30,Bob,1,York,209
2020-01-30,Bob,2,Task,276
2020-01-30,Bob,3,Reef,114
2020-01-30,Bob,4,Kris,127
2020-01-30,Bob,6,Boyd,1352
2020-01-30,Charlie,0,Reef,250
2020-01-30,Charlie,1,Sol,1170
2020-01-30,Charlie,2,Sol,1318
2020-01-30,Charlie,3,Boyd,229
2020-01-30,Charlie,4,Ivan,197
2020-01-30,Charlie,5,Task,130
2020-01-31,Alice,0,York,1361
2020-01-31,Alice,1,Quin,1111
2020-01-31,Alice,2,Hook,385
2020-01-31,Bob,0,Sol,1150
2020-01-31,Bob,1,Task,285
2020-01-31,Bob,2,Fate,1158
2020-01-31,Bob,4,Gaol,1359
2020-01-31,Bob,5,Hook,436
2020-01-31,Bob,6,Ivan,164
2020-01-31,Charlie,0,York,1278
2020-01-31,Charlie,2,York,1138
2020-01-31,Charlie,3,Task,337
2020-01-31,Charlie,4,Sol,1296
2020-01-31,Charlie,5,York,1331
2020-02-01,Alice,0,Kirk,1156
2020-02-01,Alice,2,Task,281
2020-02-01,Alice,3,Kirk,1379
2020-02-01,Bob,0,Task,278
2020-02-01,Bob,1,York,268
2020-02-01,Bob,2,Quin,1339
2020-02-01,Bob,3,Fate,1038
2020-02-01,Bob,4,Sol,201
2020-02-01,Bob,5,Stan,272
2020-02-01,Charlie,0,York,1287
2020-02-01,Charlie,1,Kirk,1282
2020-02-01,Charlie,2,Gaol,1310
2020-02-01,Charlie,3,York,1256
2020-02-01,Charlie,4,Boyd,170
2020-02-02,Alice,0,Kirk,1148
2020-02-02,Alice,3,Sol,169
2020-02-02,Bob,0,Kris,1300
2020-02-02,Bob,1,Reef,178
2020-02-02,Bob,3,Hook,351
2020-02-02,Bob,4,Kirk,1462
2020-02-02,Bob,5,Kris,1487
2020-02-02,Bob,6,Sol,265
2020-02-02,Charlie,0,Quin,1134
2020-02-02,Charlie,1,Stan,273
2020-02-02,Charlie,3,Quin,1325
2020-02-02,Charlie,5,Sol,157
2020-02-03,Alice,0,Reef,1364
2020-02-03,Alice,1,Kirk,1298
2020-02-03,Alice,2,Hook,195
2020-02-03,Alice,3,Kris,193
2020-02-03,Bob,0,Task,194
2020-02-03,Bob,1,Sol,361
2020-02-03,Bob,2,Kris,1202
2020-02-03,Bob,3,Kris,1218
2020-02-03,Bob,5,Ivan,198
2020-02-03,Charlie,0,Task,188
2020-02-03,Charlie,1,York,251
2020-02-03,Charlie,2,Kris,183
2020-02-03,Charlie,4,Gaol,1211
2020-02-04,Alice,0,Quin,1439
2020-02-04,Alice,1,Quin,1319
2020-02-04,Alice,3,Boyd,322
2020-02-04,Bob,0,Fate,1314
2020-02-04,Bob,1,Gaol,1283
2020-02-04,Bob,2,Quin,1406
2020-02-04,Bob,3,York,85
2020-02-04,Bob,4,Stan,1365
2020-02-04,Bob,5,Kirk,1280
2020-02-04,Bob,6,Stan,1357
2020-02-04,Charlie,0,York,1285
2020-02-04,Charlie,1,Sol,237
2020-02-04,Charlie,2,Reef,190
2020-02-04,Charlie,3,York,1293
2020-02-04,Charlie,4,Fate,1074
2020-02-05,Alice,0,Ivan,213
2020-02-05,Alice,1,Kris,349
2020-02-05,Alice,2,Reef,112
2020-02-05,Alice,3,Fate,1428
2020-02-05,Bob,0,Sol,160
2020-02-05,Bob,2,Reef,225
2020-02-05,Bob,3,Kirk,1284
2020-02-05,Bob,4,Ivan,195
2020-02-05,Bob,5,Kris,1163
2020-02-05,Bob,6,Quin,1388
2020-02-05,Charlie,0,Ivan,356
2020-02-05,Charlie,1,Quin,1230
2020-02-05,Charlie,3,Kirk,1206
2020-02-05,Charlie,4,Fate,1290
2020-02-06,Alice,0,Gaol,1322
2020-02-06,Alice,1,Stan,180
2020-02-06,Alice,2,Task,235
2020-02-06,Bob,0,York,170
2020-02-06,Bob,4,Boyd,162
2020-02-06,Bob,5,Boyd,143
2020-02-06,Charlie,1,Fate,1278
2020-02-06,Charlie,2,Kris,197
2020-02-06,Charlie,4,York,191
2020-02-06,Charlie,5,Kirk,1320
2020-02-07,Alice,0,Boyd,227
2020-02-07,Alice,1,Kris,1259
2020-02-07,Alice,2,Kris,1379
2020-02-07,Alice,3,Gaol,1046
2020-02-07,Bob,1,Boyd,306
2020-02-07,Bob,3,York,237
2020-02-07,Bob,4,Sol,1383
2020-02-07,Bob,5,Kris,245
2020-02-07,Bob,6,Hook,159
2020-02-07,Charlie,0,Ivan,169
2020-02-07,Charlie,1,Gaol,1180
2020-02-07,Charlie,3,Hook,70
2020-02-07,Charlie,4,Reef,269
2020-02-07,Charlie,5,Gaol,1152
2020-02-08,Alice,2,Hook,1196
2020-02-08,Alice,3,Ivan,367
2020-02-08,Bob,0,Task,1238
2020-02-08,Bob,1,Fate,1428
2020-02-08,Bob,2,Hook,249
2020-02-08,Bob,3,Boyd,170
2020-02-08,Bob,4,Quin,1256
2020-02-08,Bob,5,Task,1395
2020-02-08,Bob,6,Boyd,400
2020-02-08,Charlie,0,Fate,1286
2020-02-08,Charlie,1,York,355
2020-02-08,Charlie,2,Hook,1146
2020-02-08,Charlie,3,Sol,203
2020-02-08,Charlie,4,Boyd,286
2020-02-08,Charlie,5,Hook,1323
2020-02-09,Alice,1,Gaol,1183
2020-02-09,Alice,2,Hook,214
2020-02-09,Alice,3,Fate,1256
2020-02-09,Bob,0,Reef,282
2020-02-09,Bob,1,Boyd,1256
2020-02-09,Bob,2,Quin,1096
2020-02-09,Bob,3,Boyd,1142
2020-02-09,Bob,5,Gaol,1349
2020-02-09,Bob,6,Task,413
2020-02-09,Charlie,0,Kirk,1258
2020-02-09,Charlie,1,Ivan,1297
2020-02-09,Charlie,2,Task,399
2020-02-09,Charlie,4,Fate,1282
2020-02-09,Charlie,5,Hook,260
2020-02-10,Alice,1,Boyd,180
2020-02-10,Alice,2,York,1522
2020-02-10,Alice,3,York,1279
2020-02-10,Bob,0,Fate,1149
2020-02-10,Bob,1,Stan,208
2020-02-10,Bob,2,Kirk,1188
2020-02-10,Bob,3,Task,1583
2020-02-10,Bob,4,Kris,405
2020-02-10,Bob,5,Boyd,441
2020-02-10,Bob,6,Ivan,301
2020-02-10,Charlie,0,Quin,1383
2020-02-10,Charlie,1,Kirk,954
2020-02-10,Charlie,2,York,254
2020-02-10,Charlie,3,Reef,227
2020-02-10,Charlie,4,Task,310
2020-02-10,Charlie,5,Sol,201
2020-02-11,Alice,0,Kris,286
2020-02-11,Alice,1,Task,329
2020-02-11,Alice,2,Sol,1263
2020-02-11,Alice,3,Boyd,230
2020-02-11,Bob,1,Fate,1434
2020-02-11,Bob,2,Sol,1260
2020-02-11,Bob,3,Quin,1255
2020-02-11,Bob,4,Reef,384
2020-02-11,Bob,5,York,192
2020-02-11,Charlie,0,Kris,1145
2020-02-11,Charlie,1,Boyd,254
2020-02-11,Charlie,2,Kris,1124
2020-02-11,Charlie,3,York,265
2020-02-11,Charlie,4,York,93
2020-02-12,Alice,0,Stan,377
2020-02-12,Alice,1,Kirk,1534
2020-02-12,Bob,0,Fate,1303
2020-02-12,Bob,2,Fate,1211
2020-02-12,Bob,3,Kris,351
2020-02-12,Bob,4,Quin,992
2020-02-12,Bob,5,Task,76
2020-02-12,Bob,6,York,268
2020-02-12,Charlie,0,Reef,228
2020-02-12,Charlie,2,Boyd,1364
2020-02-12,Charlie,4,York,188
2020-02-12,Charlie,5,Kirk,1318
2020-02-13,Alice,0,Task,1161
2020-02-13,Alice,1,Task,1144
2020-02-13,Alice,2,Sol,201
2020-02-13,Alice,3,Sol,297
2020-02-13,Bob,1,Reef,354
2020-02-13,Bob,3,York,312
2020-02-13,Bob,4,Kirk,1317
2020-02-13,Bob,5,Gaol,1019
2020-02-13,Bob,6,Hook,273
2020-02-13,Charlie,0,Gaol,1264
2020-02-13,Charlie,1,Stan,1413
2020-02-13,Charlie,2,Stan,1309
2020-02-13,Charlie,3,Kris,234
2020-02-13,Charlie,5,York,393
2020-02-14,Alice,0,Stan,97
2020-02-14,Alice,1,Boyd,193
2020-02-14,Alice,2,York,176
2020-02-14,Alice,3,Sol,317
2020-02-14,Bob,0,Ivan,1224
2020-02-14,Bob,1,Hook,243
2020-02-14,Bob,2,Fate,1327
2020-02-14,Bob,4,Boyd,221
2020-02-14,Bob,5,Kris,194
2020-02-14,Charlie,0,Task,224
2020-02-14,Charlie,2,Sol,88
2020-02-14,Charlie,3,Sol,230
2020-02-14,Charlie,4,Stan,1312
2020-02-14,Charlie,5,York,287
2020-02-15,Alice,0,Stan,239
2020-02-15,Alice,1,Kris,1308
2020-02-15,Alice,2,Boyd,243
2020-02-15,Alice,3,Kris,1177
2020-02-15,Bob,2,York,219
2020-02-15,Bob,3,Quin,1198
2020-02-15,Bob,4,Kris,1191
2020-02-15,Bob,5,Task,196
2020-02-15,Charlie,0,Sol,1362
2020-02-15,Charlie,1,Kirk,1328
2020-02-15,Charlie,2,Fate,1027
2020-02-15,Charlie,3,Boyd,265
2020-02-15,Charlie,4,Task,203
2020-02-15,Charlie,5,Sol,1303
2020-02-16,Alice,0,Gaol,992
2020-02-16,Alice,1,Kirk,1156
2020-02-16,Alice,2,Sol,1218
2020-02-16,Alice,3,Sol,1184
2020-02-16,Bob,0,Kirk,1280
2020-02-16,Bob,3,Fate,950
2020-02-16,Bob,4,Task,1017
2020-02-16,Bob,5,Fate,1279
2020-02-16,Charlie,0,York,281
2020-02-16,Charlie,1,Sol,1473
2020-02-16,Charlie,3,Sol,1259
2020-02-16,Charlie,4,Kirk,1260
2020-02-16,Charlie,5,Sol,1448
2020-02-17,Alice,0,Task,419
2020-02-17,Alice,1,Reef,185
2020-02-17,Alice,2,Sol,1167
2020-02-17,Alice,3,Sol,1293
2020-02-17,Bob,0,York,1405
2020-02-17,Bob,1,Boyd,91
2020-02-17,Bob,3,Ivan,274
2020-02-17,Bob,4,York,1309
2020-02-17,Bob,6,Reef,364
2020-02-17,Charlie,1,Ivan,233
2020-02-17,Charlie,3,Sol,295
2020-02-17,Charlie,4,Stan,260
2020-02-17,Charlie,5,Reef,274
2020-02-18,Alice,0,Quin,984
2020-02-18,Alice,1,York,320
2020-02-18,Alice,3,Hook,1320
2020-02-18,Bob,1,Stan,1333
2020-02-18,Bob,2,Sol,1369
2020-02-18,Bob,3,Stan,1498
2020-02-18,Bob,4,Fate,1193
2020-02-18,Bob,5,Gaol,1320
2020-02-18,Bob,6,Boyd,167
2020-02-18,Charlie,0,York,1174
2020-02-18,Charlie,1,Kirk,1121
2020-02-18,Charlie,2,York,1436
2020-02-18,Charlie,3,Quin,1180
2020-02-18,Charlie,4,Reef,1370
2020-02-18,Charlie,5,Hook,106
2020-02-19,Alice,0,Reef,270
2020-02-19,Alice,1,York,316
2020-02-19,Alice,2,Boyd,281
2020-02-19,Bob,0,Gaol,1187
2020-02-19,Bob,1,Quin,1250
2020-02-19,Bob,2,Fate,1345
2020-02-19,Bob,3,Sol,270
2020-02-19,Bob,4,York,216
2020-02-19,Bob,5,Ivan,127
2020-02-19,Bob,6,Fate,1488
2020-02-19,Charlie,0,Stan,301
2020-02-19,Charlie,2,Reef,287
2020-02-19,Charlie,3,Quin,1369
2020-02-19,Charlie,4,Kris,379
2020-02-19,Charlie,5,Task,239
2020-02-20,Alice,0,York,257
2020-02-20,Alice,1,Task,335
2020-02-20,Alice,2,Kirk,1406
2020-02-20,Bob,0,Hook,239
2020-02-20,Bob,2,Boyd,1299
2020-02-20,Bob,3,Quin,1128
2020-02-20,Bob,4,Boyd,1100
2020-02-20,Bob,5,Sol,246
2020-02-20,Bob,6,Quin,1260
2020-02-20,Charlie,1,Ivan,241
2020-02-20,Charlie,2,Sol,296
2020-02-20,Charlie,3,York,258
2020-02-20,Charlie,4,Stan,232
2020-02-21,Alice,0,Fate,1474
2020-02-21,Alice,3,Ivan,197
